,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.243,0.946,0.802,0.823,0.721,0.839,1.599,0.66,1.805,0.542,0.86,0.799,1.814,0.517,1.231,0.715
1,1,0.145,0.971,0.524,0.889,0.536,0.885,1.297,0.732,1.496,0.668,1.036,0.783,2.119,0.523,0.931,0.805
2,2,0.223,0.956,0.758,0.841,0.725,0.848,1.638,0.663,1.692,0.635,2.246,0.562,2.39,0.509,1.506,0.697
3,3,0.665,0.864,1.227,0.75,1.141,0.757,2.141,0.583,1.983,0.598,2.403,0.506,1.975,0.587,2.098,0.582
4,4,0.453,0.875,1.172,0.722,1.113,0.734,2.043,0.562,1.373,0.66,1.653,0.534,1.899,0.596,1.648,0.583
5,5,0.476,0.873,1.166,0.713,1.115,0.716,2.058,0.548,1.264,0.684,1.734,0.557,2.072,0.574,1.527,0.605
6,6,0.684,0.822,1.354,0.649,1.45,0.636,2.209,0.513,1.898,0.564,2.051,0.543,1.967,0.504,1.657,0.588
7,7,0.989,0.569,1.592,0.455,1.662,0.442,2.319,0.376,1.914,0.413,1.215,0.472,1.63,0.428,1.287,0.47
8,8,1.118,0.52,1.684,0.434,1.722,0.432,2.282,0.389,1.757,0.401,1.403,0.484,1.406,0.407,1.276,0.477
9,9,1.969,0.297,2.152,0.308,2.179,0.296,2.381,0.342,2.167,0.296,1.746,0.413,1.741,0.175,1.842,0.338
10,10,5.548,0.001,5.165,0.058,5.142,0.063,4.439,0.163,5.142,0.063,5.142,0.063,5.142,0.063,5.142,0.063
11,11,5.548,0.001,5.165,0.058,5.142,0.063,4.439,0.163,5.142,0.063,5.142,0.063,5.142,0.063,5.142,0.063
