,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.481,0.893,1.226,0.731,1.392,0.692,1.9,0.591,1.72,0.585,1.477,0.635,1.701,0.582,1.617,0.622
1,1,0.28,0.939,0.831,0.818,0.9,0.808,1.59,0.67,1.958,0.577,1.246,0.74,1.852,0.572,1.531,0.682
2,2,0.409,0.918,1.039,0.782,1.093,0.767,2.082,0.581,1.718,0.635,1.847,0.615,1.991,0.57,1.63,0.664
3,3,0.575,0.843,1.225,0.725,1.32,0.704,2.23,0.54,1.635,0.579,2.006,0.548,1.746,0.597,1.839,0.576
4,4,0.4,0.887,1.076,0.739,1.127,0.727,2.105,0.549,1.585,0.629,2.255,0.476,1.459,0.665,1.758,0.565
5,5,0.425,0.88,1.001,0.742,1.041,0.746,2.089,0.545,1.48,0.648,1.954,0.506,1.968,0.562,1.634,0.594
6,6,0.528,0.845,1.068,0.726,1.13,0.713,2.15,0.535,1.45,0.647,2.096,0.515,1.737,0.551,1.514,0.621
7,7,0.776,0.584,1.451,0.463,1.412,0.452,1.974,0.432,2.163,0.384,0.9,0.456,2.666,0.389,1.311,0.425
8,8,0.962,0.543,1.465,0.47,1.481,0.443,2.022,0.443,1.809,0.416,1.734,0.497,1.277,0.394,1.3,0.458
9,9,1.754,0.392,1.874,0.397,1.952,0.383,2.192,0.408,1.9,0.377,1.797,0.468,1.595,0.321,1.651,0.391
10,10,5.535,0.002,4.947,0.089,4.99,0.081,4.063,0.23,4.99,0.081,4.99,0.081,4.99,0.081,4.99,0.081
11,11,5.535,0.002,4.947,0.089,4.99,0.081,4.063,0.23,4.99,0.081,4.99,0.081,4.99,0.081,4.99,0.081
