,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.726,0.819,1.668,0.593,1.871,0.56,2.252,0.492,1.523,0.548,1.198,0.633,1.606,0.55,1.438,0.6
1,1,0.939,0.814,1.772,0.632,1.836,0.615,2.504,0.491,1.781,0.58,1.906,0.574,1.734,0.574,1.806,0.605
2,2,0.979,0.8,1.655,0.658,1.641,0.66,2.48,0.503,1.924,0.589,2.336,0.515,1.722,0.611,2.05,0.572
3,3,0.56,0.846,1.222,0.708,1.317,0.692,2.213,0.537,1.629,0.602,1.879,0.566,1.47,0.633,2.006,0.539
4,4,0.46,0.863,1.046,0.748,1.148,0.733,2.137,0.555,1.415,0.66,1.99,0.537,1.445,0.677,1.753,0.581
5,5,0.453,0.866,1.099,0.728,1.144,0.722,2.13,0.547,1.36,0.652,1.942,0.526,2.074,0.54,1.521,0.599
6,6,0.639,0.814,1.264,0.678,1.268,0.676,2.213,0.514,1.459,0.618,1.709,0.545,1.88,0.558,1.496,0.608
7,7,0.899,0.58,1.431,0.488,1.522,0.469,2.162,0.436,1.665,0.452,1.831,0.503,1.416,0.404,1.471,0.458
8,8,1.052,0.505,1.505,0.452,1.658,0.431,2.059,0.448,1.657,0.437,1.014,0.482,1.453,0.443,1.171,0.48
9,9,1.721,0.282,1.807,0.3,1.889,0.278,1.945,0.334,1.698,0.289,1.187,0.345,1.763,0.387,1.375,0.331
10,10,5.535,0.002,4.947,0.089,4.99,0.081,4.063,0.23,4.99,0.081,4.99,0.081,4.99,0.081,4.99,0.081
11,11,5.535,0.002,4.947,0.089,4.99,0.081,4.063,0.23,4.99,0.081,4.99,0.081,4.99,0.081,4.99,0.081
