,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.54925,0.562,0.32325,0.321,0.3255
1,1,0.5185,0.586875,0.324875,0.324,0.32575
2,2,0.4955,0.66275,0.318375,0.31525,0.3215
3,3,0.6275,0.732375,0.299625,0.30425,0.295
4,4,0.721125,0.78375,0.290875,0.2865,0.29525
5,5,0.7795,0.831375,0.291625,0.2895,0.29375
6,6,0.88425,0.93425,0.276875,0.284,0.26975
7,7,0.91475,0.96425,0.283375,0.287,0.27975
8,8,0.921375,0.95925,0.309625,0.313,0.30625
9,9,0.939125,0.981125,0.324625,0.323,0.32625
10,10,0.927625,0.9625,0.325875,0.326,0.32575
11,11,0.93425,0.961,0.32725,0.32725,0.32725
