,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.54925,0.562,0.33125,0.331,0.3315
1,1,0.5185,0.586875,0.32975,0.33,0.3295
2,2,0.4955,0.66275,0.341125,0.3415,0.34075
3,3,0.6275,0.732375,0.374375,0.38475,0.364
4,4,0.721125,0.78375,0.411875,0.4475,0.37625
5,5,0.7795,0.831375,0.395625,0.4065,0.38475
6,6,0.88425,0.93425,0.476875,0.469,0.48475
7,7,0.91475,0.96425,0.464125,0.4665,0.46175
8,8,0.921375,0.95925,0.354625,0.3525,0.35675
9,9,0.939125,0.981125,0.328875,0.329,0.32875
10,10,0.927625,0.9625,0.32775,0.32725,0.32825
11,11,0.93425,0.961,0.32725,0.32725,0.32725
