,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.197,0.923,0.748,0.706,0.735,0.708,0.731,0.705,1.709,0.515,0.833,0.643,1.821,0.511,1.37,0.54
1,1,0.233,0.895,0.575,0.751,0.569,0.764,0.596,0.751,1.274,0.561,0.646,0.732,1.404,0.513,0.828,0.699
2,2,0.206,0.905,0.583,0.746,0.548,0.763,0.583,0.762,0.828,0.652,0.605,0.745,0.998,0.61,0.594,0.75
3,3,0.2,0.905,0.599,0.764,0.539,0.775,0.593,0.772,0.737,0.697,0.716,0.738,1.092,0.593,0.686,0.738
4,4,0.241,0.891,0.641,0.746,0.613,0.756,0.631,0.752,0.848,0.691,0.868,0.684,1.083,0.599,0.791,0.683
5,5,0.384,0.836,0.986,0.62,1.009,0.609,1.022,0.6,0.844,0.627,1.098,0.583,1.146,0.521,1.001,0.579
6,6,0.585,0.743,1.181,0.566,1.153,0.582,1.21,0.574,0.986,0.591,1.031,0.581,0.904,0.606,1.06,0.556
7,7,0.969,0.617,1.408,0.517,1.352,0.527,1.46,0.512,0.987,0.532,1.268,0.501,0.86,0.557,1.206,0.497
8,8,1.604,0.441,1.802,0.417,1.785,0.438,1.868,0.424,1.104,0.446,1.536,0.43,0.782,0.476,1.453,0.429
9,9,2.017,0.408,2.156,0.406,2.125,0.42,2.197,0.408,1.42,0.448,1.741,0.427,0.834,0.481,1.688,0.435
10,10,2.262,0.402,2.319,0.399,2.256,0.418,2.351,0.406,1.711,0.43,1.953,0.433,1.002,0.459,1.814,0.426
11,11,2.679,0.402,2.678,0.401,2.594,0.418,2.709,0.408,2.594,0.418,2.594,0.418,2.594,0.418,2.594,0.418
