,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.317,0.876,1.049,0.545,1.085,0.547,1.098,0.529,1.202,0.511,1.146,0.52,1.873,0.495,1.141,0.506
1,1,0.8,0.599,1.015,0.537,1.032,0.525,1.007,0.524,0.85,0.486,0.914,0.536,0.779,0.491,1.005,0.488
2,2,0.301,0.867,1.053,0.578,1.06,0.578,1.062,0.566,0.77,0.635,0.967,0.584,1.11,0.516,0.823,0.628
3,3,0.297,0.874,1.016,0.596,1.047,0.587,1.047,0.578,0.868,0.636,0.934,0.603,1.079,0.584,0.968,0.6
4,4,0.343,0.853,1.029,0.593,1.043,0.591,1.035,0.588,0.894,0.637,1.173,0.573,1.166,0.578,0.957,0.586
5,5,0.52,0.766,1.229,0.524,1.206,0.529,1.237,0.524,0.802,0.626,0.796,0.632,0.999,0.55,0.971,0.551
6,6,0.761,0.671,1.358,0.509,1.326,0.511,1.389,0.501,0.813,0.637,1.18,0.545,0.856,0.628,0.904,0.569
7,7,1.151,0.537,1.578,0.45,1.523,0.472,1.607,0.454,0.845,0.574,1.259,0.508,0.633,0.649,1.129,0.499
8,8,1.569,0.443,1.773,0.42,1.766,0.429,1.827,0.421,1.061,0.456,1.604,0.423,0.754,0.483,1.347,0.457
9,9,2.009,0.406,2.138,0.407,2.105,0.424,2.181,0.408,1.294,0.461,1.721,0.441,0.774,0.49,1.672,0.445
10,10,2.273,0.402,2.323,0.4,2.259,0.418,2.351,0.406,1.587,0.436,2.01,0.435,1.0,0.468,1.798,0.436
11,11,2.679,0.402,2.678,0.401,2.594,0.418,2.709,0.408,2.594,0.418,2.594,0.418,2.594,0.418,2.594,0.418
