,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.198,0.945,0.876,0.599,0.866,0.58,1.034,0.534,1.188,0.529,0.931,0.543,1.324,0.508,1.055,0.53
1,1,0.227,0.925,0.822,0.624,0.816,0.611,1.044,0.537,1.074,0.537,1.071,0.542,1.002,0.505,0.975,0.534
2,2,0.126,0.962,0.725,0.692,0.744,0.672,1.045,0.581,1.143,0.545,0.921,0.584,0.921,0.588,0.929,0.624
3,3,0.159,0.938,0.694,0.716,0.747,0.699,1.029,0.598,0.819,0.651,1.637,0.512,1.416,0.542,1.02,0.582
4,4,0.211,0.907,0.682,0.724,0.672,0.71,0.974,0.613,0.782,0.694,1.878,0.498,1.859,0.509,1.145,0.556
5,5,0.488,0.75,0.923,0.62,0.924,0.617,1.141,0.542,1.015,0.584,1.293,0.494,1.533,0.506,0.975,0.54
6,6,0.552,0.731,0.955,0.614,0.943,0.616,1.175,0.554,1.128,0.517,1.781,0.479,1.271,0.513,1.242,0.444
7,7,0.936,0.596,1.162,0.545,1.221,0.541,1.377,0.496,0.949,0.498,1.467,0.454,0.952,0.478,1.159,0.411
8,8,1.248,0.52,1.42,0.51,1.454,0.507,1.511,0.499,0.976,0.479,1.303,0.453,0.739,0.562,1.286,0.464
9,9,1.763,0.497,1.832,0.494,1.831,0.492,1.84,0.496,1.414,0.465,1.614,0.469,1.179,0.443,1.729,0.485
10,10,1.95,0.494,1.985,0.495,1.973,0.491,1.92,0.496,1.734,0.492,1.928,0.492,1.494,0.493,1.927,0.492
11,11,2.094,0.497,2.12,0.496,2.091,0.492,2.033,0.496,2.091,0.492,2.091,0.492,2.091,0.492,2.091,0.492
