,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.605,0.664,0.958,0.507,0.941,0.49,0.948,0.499,1.021,0.508,0.975,0.503,0.851,0.51,0.95,0.495
1,1,0.558,0.713,1.055,0.506,1.055,0.519,1.095,0.475,1.097,0.507,1.085,0.511,1.309,0.484,1.061,0.507
2,2,0.177,0.936,1.283,0.536,1.274,0.553,1.298,0.541,1.532,0.525,1.801,0.506,1.689,0.517,1.2,0.542
3,3,0.151,0.953,1.22,0.549,1.22,0.558,1.208,0.547,1.183,0.545,2.277,0.503,1.633,0.509,1.19,0.532
4,4,0.188,0.939,1.215,0.544,1.227,0.548,1.209,0.539,1.175,0.536,1.924,0.502,1.825,0.501,1.255,0.535
5,5,0.264,0.895,1.255,0.533,1.294,0.532,1.287,0.532,1.22,0.533,1.679,0.512,1.284,0.527,1.314,0.513
6,6,0.272,0.89,1.184,0.538,1.203,0.526,1.212,0.528,1.14,0.539,1.701,0.509,1.405,0.5,1.193,0.533
7,7,0.268,0.907,1.043,0.577,1.098,0.56,1.111,0.551,1.171,0.539,1.499,0.53,0.917,0.529,1.111,0.556
8,8,0.354,0.866,0.949,0.616,0.989,0.596,1.005,0.582,1.048,0.572,1.256,0.557,0.893,0.56,1.029,0.574
9,9,0.531,0.781,0.98,0.584,1.011,0.58,0.984,0.579,0.961,0.58,1.007,0.55,1.082,0.525,0.994,0.561
10,10,1.199,0.48,1.222,0.469,1.271,0.47,1.213,0.469,1.034,0.496,0.939,0.517,1.211,0.48,1.083,0.487
11,11,2.321,0.376,2.196,0.402,2.234,0.381,2.206,0.389,2.234,0.381,2.234,0.381,2.234,0.381,2.234,0.381
