,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.665,0.644,1.011,0.466,1.006,0.468,0.973,0.493,0.973,0.484,0.914,0.494,0.816,0.499,0.953,0.501
1,1,0.938,0.568,1.188,0.48,1.166,0.477,1.151,0.478,0.848,0.49,0.829,0.499,0.734,0.519,1.119,0.484
2,2,0.297,0.875,1.382,0.503,1.463,0.483,1.416,0.483,1.426,0.498,1.399,0.522,1.486,0.505,1.335,0.504
3,3,0.208,0.935,1.295,0.51,1.386,0.476,1.368,0.485,1.199,0.514,1.72,0.498,1.369,0.486,1.295,0.499
4,4,0.293,0.89,1.271,0.512,1.344,0.484,1.285,0.509,1.221,0.516,1.71,0.503,1.628,0.485,1.319,0.505
5,5,0.319,0.872,1.331,0.506,1.376,0.475,1.336,0.488,1.148,0.532,1.407,0.497,1.238,0.513,1.327,0.512
6,6,0.303,0.887,1.209,0.52,1.227,0.495,1.209,0.499,1.17,0.525,1.17,0.515,1.189,0.507,1.153,0.523
7,7,0.343,0.878,1.136,0.527,1.196,0.506,1.181,0.51,1.079,0.542,1.085,0.519,0.922,0.531,1.147,0.541
8,8,0.408,0.831,1.024,0.561,1.092,0.536,1.088,0.545,1.03,0.576,1.201,0.557,0.791,0.62,1.036,0.587
9,9,0.59,0.74,1.045,0.554,1.058,0.539,1.052,0.53,0.987,0.558,0.848,0.577,1.121,0.537,0.972,0.572
10,10,1.217,0.475,1.243,0.466,1.271,0.469,1.243,0.464,1.028,0.496,0.864,0.54,1.182,0.482,1.059,0.492
11,11,2.321,0.376,2.196,0.402,2.234,0.381,2.206,0.389,2.234,0.381,2.234,0.381,2.234,0.381,2.234,0.381
