,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.623,0.666,0.961,0.493,0.953,0.488,0.889,0.517,1.016,0.527,0.781,0.521,0.818,0.502,0.911,0.518
1,1,0.732,0.625,1.08,0.514,1.101,0.496,1.06,0.486,0.848,0.507,0.744,0.501,1.225,0.503,0.993,0.503
2,2,0.2,0.93,1.391,0.505,1.417,0.504,1.334,0.522,1.449,0.525,1.085,0.556,1.639,0.522,1.292,0.532
3,3,0.152,0.957,1.35,0.514,1.326,0.52,1.324,0.519,1.302,0.525,1.325,0.535,1.57,0.506,1.322,0.525
4,4,0.18,0.949,1.309,0.504,1.298,0.51,1.242,0.539,1.341,0.513,1.281,0.506,1.653,0.506,1.369,0.512
5,5,0.235,0.909,1.386,0.493,1.386,0.5,1.33,0.52,1.197,0.534,1.146,0.511,1.345,0.524,1.318,0.517
6,6,0.207,0.939,1.288,0.503,1.349,0.487,1.253,0.503,1.359,0.48,1.129,0.509,1.474,0.497,1.283,0.52
7,7,0.256,0.921,1.157,0.526,1.202,0.512,1.139,0.522,1.17,0.529,1.212,0.526,0.937,0.528,1.179,0.521
8,8,0.291,0.896,1.102,0.546,1.124,0.532,1.048,0.57,1.092,0.548,1.311,0.531,0.915,0.552,1.164,0.515
9,9,0.529,0.76,1.057,0.537,1.067,0.523,1.003,0.55,1.053,0.536,1.022,0.538,1.066,0.534,1.107,0.528
10,10,1.195,0.496,1.257,0.475,1.241,0.482,1.217,0.504,1.029,0.491,0.927,0.518,1.196,0.49,1.065,0.499
11,11,2.17,0.415,2.132,0.418,2.091,0.431,2.073,0.43,2.091,0.431,2.091,0.431,2.091,0.431,2.091,0.431
