,value,stream,layer,val acc,train acc
0,class,stream_1,0,0.496875,0.60421875
1,class,stream_1,1,0.58,0.655625
2,class,stream_1,2,0.78671875,0.7975
3,class,stream_1,3,0.79765625,0.87203125
4,class,stream_1,4,0.931875,0.934375
5,class,stream_1,5,0.94953125,0.9815625
6,class,stream_1,6,0.9646875,0.98578125
7,class,stream_1,7,0.959375,0.9675
8,class,stream_1,8,0.97515625,0.98453125
9,class,stream_1,9,0.9696875,0.98
10,class,stream_1,10,0.97734375,0.98859375
11,class,stream_1,11,0.96609375,0.99078125
12,class,stream_1,12,0.9853125,0.9965625
13,class,stream_2,0,0.49875,0.59859375
14,class,stream_2,1,0.569375,0.61140625
15,class,stream_2,2,0.79171875,0.83796875
16,class,stream_2,3,0.86078125,0.889375
17,class,stream_2,4,0.9334375,0.9534375
18,class,stream_2,5,0.95375,0.98140625
19,class,stream_2,6,0.963125,0.9715625
20,class,stream_2,7,0.97640625,0.97046875
21,class,stream_2,8,0.97359375,0.985
22,class,stream_2,9,0.984375,0.9971875
23,class,stream_2,10,0.98171875,0.9890625
24,class,stream_2,11,0.9740625,0.99203125
25,class,stream_2,12,0.92171875,0.980625
26,class,cls,0,0.5,0.5
27,class,cls,1,0.9834375,0.9940625
28,class,cls,2,0.9878125,1.0
29,class,cls,3,0.9896875,1.0
30,class,cls,4,0.98984375,1.0
31,class,cls,5,0.99046875,1.0
32,class,cls,6,0.9909375,1.0
33,class,cls,7,0.99109375,1.0
34,class,cls,8,0.9915625,1.0
35,class,cls,9,0.991875,1.0
36,class,cls,10,0.9928125,1.0
37,class,cls,11,0.99328125,1.0
38,class,cls,12,0.9934375,1.0
