,layer,Feature Cosine Sim,Feature Sig,Template Cosine Sim,Template Sig,Raw Image Sim,Image Sig,Patch Sim,Patch Sig,Feature-Raw Sim
0,0,0.35966493181783393,1.0,0.2702872463787888,1.0,0.12897458431892364,1.0,0.004978807996795878,0.624,0.009906685557341829
1,1,0.3589649004034095,1.0,0.2724801585302017,1.0,0.10508408965288227,1.0,0.00568633558026901,0.653,0.009906685557341829
2,2,0.36265501223747576,1.0,0.27391083783669173,1.0,0.07752729235569562,1.0,0.005666849515524455,0.636,0.009906685557341829
3,3,0.36732553178054866,1.0,0.27522961401359225,1.0,0.04399393343172369,1.0,0.006694491420169097,0.708,0.009906685557341829
4,4,0.36479733510848394,1.0,0.27549453823702,1.0,0.024530182057752623,0.972,0.008350005551062233,0.754,0.009906685557341829
5,5,0.359054475905079,1.0,0.2744196891724984,1.0,0.012574833684850621,0.843,0.0017927862506835711,0.531,0.009906685557341829
6,6,0.3525797504668209,1.0,0.2722112621600391,1.0,0.008645957088191757,0.766,-0.004312946586057804,0.374,0.009906685557341829
7,7,0.3379776745163153,1.0,0.2686449010519686,1.0,0.015866984438672627,0.88,0.0018975102713105732,0.543,0.009906685557341829
8,8,0.3249905006354232,1.0,0.26486053086924105,1.0,0.01651807337548521,0.887,0.004097855646959334,0.652,0.009906685557341829
9,9,0.31235087717006915,1.0,0.257525917226305,1.0,0.011346959627917182,0.795,0.0026492982085219658,0.597,0.009906685557341829
10,10,0.30178745534956425,1.0,0.2536413013013761,1.0,0.007227831108076513,0.701,0.006751455790934598,0.716,0.009906685557341829
11,11,0.2975057733187839,1.0,0.2504039360450897,1.0,0.006510986474084423,0.679,0.008847516936011402,0.748,0.009906685557341829
12,12,0.29219670457892255,1.0,0.24779715202694025,1.0,0.0011843460349016998,0.527,0.009090252463908505,0.752,0.009906685557341829
