,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,6.304,0.057,5.76,0.132,5.843,0.139,5.827,0.133,5.879,0.117,5.976,0.122,5.822,0.143,5.923,0.12
1,1,6.196,0.027,5.687,0.094,5.778,0.093,5.742,0.095,5.34,0.126,5.059,0.171,5.187,0.102,5.155,0.136
2,2,6.224,0.03,5.708,0.102,5.792,0.104,5.758,0.102,5.461,0.126,5.417,0.134,5.323,0.107,5.359,0.124
3,3,6.29,0.032,5.761,0.104,5.849,0.107,5.811,0.104,5.669,0.117,5.591,0.135,5.513,0.108,5.557,0.117
4,4,6.352,0.032,5.813,0.106,5.902,0.109,5.863,0.104,5.798,0.118,5.774,0.131,5.667,0.108,5.684,0.12
5,5,6.392,0.036,5.843,0.108,5.918,0.108,5.888,0.105,5.989,0.107,5.973,0.106,6.003,0.111,5.975,0.106
6,6,6.389,0.031,5.854,0.102,5.923,0.105,5.896,0.105,5.583,0.112,5.539,0.111,5.531,0.111,5.647,0.114
7,7,6.394,0.036,5.847,0.109,5.92,0.108,5.892,0.106,5.987,0.104,5.971,0.106,5.988,0.106,5.977,0.104
8,8,6.389,0.036,5.841,0.11,5.914,0.108,5.887,0.106,5.985,0.104,5.976,0.104,5.989,0.102,5.978,0.103
9,9,6.41,0.034,5.866,0.106,5.938,0.105,5.915,0.105,5.809,0.108,5.784,0.11,5.753,0.105,5.72,0.108
10,10,6.416,0.037,5.864,0.11,5.941,0.108,5.914,0.106,5.983,0.1,5.979,0.104,5.98,0.102,5.986,0.102
11,11,6.444,0.035,5.891,0.109,5.967,0.108,5.941,0.106,5.967,0.108,5.967,0.108,5.967,0.108,5.967,0.108
