,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,2.766,0.345,2.448,0.403,2.367,0.413,2.409,0.405,2.518,0.382,2.51,0.385,2.539,0.402,2.532,0.393
1,1,2.922,0.31,2.569,0.379,2.475,0.394,2.54,0.378,2.452,0.388,2.346,0.384,2.65,0.385,2.464,0.387
2,2,2.937,0.304,2.591,0.366,2.493,0.384,2.55,0.367,2.561,0.384,2.371,0.381,2.743,0.386,2.474,0.387
3,3,2.94,0.308,2.588,0.377,2.49,0.389,2.547,0.373,2.619,0.383,2.438,0.385,2.81,0.384,2.554,0.386
4,4,2.954,0.307,2.598,0.377,2.504,0.389,2.56,0.373,2.61,0.384,2.492,0.388,2.729,0.385,2.557,0.386
5,5,2.953,0.31,2.594,0.378,2.501,0.39,2.557,0.376,2.605,0.388,2.549,0.387,2.641,0.385,2.572,0.387
6,6,2.956,0.311,2.597,0.378,2.504,0.391,2.561,0.376,2.607,0.387,2.577,0.387,2.62,0.386,2.576,0.388
7,7,2.935,0.315,2.577,0.383,2.487,0.396,2.537,0.381,2.578,0.388,2.602,0.385,2.519,0.389,2.559,0.388
8,8,2.914,0.319,2.557,0.387,2.47,0.399,2.516,0.386,2.571,0.387,2.575,0.386,2.521,0.389,2.558,0.391
9,9,2.91,0.319,2.553,0.387,2.465,0.399,2.513,0.388,2.577,0.389,2.578,0.386,2.558,0.39,2.58,0.386
10,10,2.948,0.315,2.59,0.384,2.5,0.396,2.553,0.384,2.573,0.388,2.567,0.389,2.544,0.389,2.569,0.387
11,11,3.023,0.306,2.661,0.374,2.562,0.389,2.627,0.373,2.562,0.389,2.562,0.389,2.562,0.389,2.562,0.389
