,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,4.398,0.074,4.472,0.074,4.412,0.073,4.233,0.114,4.38,0.072,4.336,0.073,4.458,0.072,4.396,0.073
1,1,4.314,0.07,4.383,0.069,4.328,0.069,4.145,0.108,4.183,0.075,4.199,0.077,4.166,0.074,4.114,0.075
2,2,4.335,0.071,4.408,0.073,4.35,0.071,4.16,0.11,4.242,0.073,4.231,0.073,4.193,0.073,4.229,0.072
3,3,4.351,0.072,4.426,0.073,4.365,0.072,4.176,0.111,4.295,0.073,4.279,0.074,4.203,0.073,4.216,0.073
4,4,4.381,0.073,4.455,0.073,4.389,0.073,4.206,0.111,4.333,0.073,4.337,0.073,4.282,0.073,4.311,0.073
5,5,4.391,0.073,4.464,0.073,4.398,0.073,4.218,0.111,4.345,0.073,4.377,0.073,4.309,0.073,4.322,0.073
6,6,4.403,0.073,4.476,0.074,4.407,0.073,4.229,0.111,4.364,0.073,4.373,0.073,4.324,0.073,4.332,0.073
7,7,4.413,0.073,4.484,0.074,4.415,0.073,4.241,0.111,4.38,0.073,4.394,0.073,4.356,0.073,4.371,0.073
8,8,4.425,0.073,4.496,0.074,4.425,0.073,4.253,0.111,4.408,0.073,4.406,0.073,4.385,0.073,4.394,0.073
9,9,4.431,0.073,4.502,0.074,4.431,0.073,4.26,0.111,4.419,0.073,4.416,0.073,4.408,0.073,4.41,0.073
10,10,4.438,0.073,4.51,0.074,4.437,0.073,4.269,0.111,4.427,0.073,4.429,0.073,4.426,0.073,4.426,0.073
11,11,4.449,0.073,4.52,0.074,4.446,0.073,4.279,0.111,4.446,0.073,4.446,0.073,4.446,0.073,4.446,0.073
